DATE,IMPCH
2006-03-01,4346.313378
2006-04-01,3310.611773
2006-05-01,3264.448251
2006-06-01,3012.997539
2006-07-01,3359.341305
2006-08-01,4292.042887
2006-09-01,4276.136236
2006-10-01,5005.749013
2006-11-01,5348.950905
2006-12-01,3623.232578
2007-01-01,4258.056765
2007-02-01,5133.526895
2007-03-01,2191.785905
2007-04-01,2782.452840
2007-05-01,2972.939311
2007-06-01,3081.261802
2007-07-01,3969.160049
2007-08-01,1711.166200
2007-09-01,1848.344615
2007-10-01,2166.804663
2007-11-01,2005.639570
2007-12-01,1547.375707
2008-01-01,552.469473
2008-02-01,1057.006093
2008-03-01,-282.802465
2008-04-01,1710.144223
2008-05-01,2343.958001
2008-06-01,859.679336
2008-07-01,2646.099855
2008-08-01,3399.196454
2008-09-01,3659.768101
2008-10-01,2476.981881
2008-11-01,-1515.693761
2008-12-01,-577.046302
2009-01-01,-1449.574743
2009-02-01,-5250.391245
2009-03-01,-1215.528257
2009-04-01,-4031.071748
2009-05-01,-4900.384597
2009-06-01,-3957.866297
2009-07-01,-5576.186260
2009-08-01,-6025.578233
2009-09-01,-5184.814039
2009-10-01,-4474.605418
2009-11-01,-723.304255
2009-12-01,1390.560757
2010-01-01,472.461604
2010-02-01,4497.282304
2010-03-01,3067.499684
2010-04-01,3999.592893
2010-05-01,6318.290499
2010-06-01,8870.325798
2010-07-01,7595.749185
2010-08-01,9577.168775
2010-09-01,7302.782262
2010-10-01,5525.516572
2010-11-01,7022.573118
2010-12-01,4329.507413
2011-01-01,6161.434740
2011-02-01,3901.958299
2011-03-01,3307.453660
2011-04-01,3660.094565
2011-05-01,3735.633268
2011-06-01,1531.730758
2011-07-01,1885.409660
2011-08-01,1998.848092
2011-09-01,1221.944006
2011-10-01,2740.772266
2011-11-01,2200.617743
2011-12-01,2072.701979
2012-01-01,3040.186674
2012-02-01,860.450606
2012-03-01,3831.682074
2012-04-01,3435.971128
2012-05-01,2149.758310
2012-06-01,1574.528658
2012-07-01,2778.511952
2012-08-01,-93.507379
2012-09-01,1473.180199
2012-10-01,2433.011821
2012-11-01,2778.781546
2012-12-01,1985.294417
2013-01-01,2776.118383
2013-02-01,4637.491166
2013-03-01,-4137.281728
2013-04-01,115.672472
2013-05-01,1679.793717
2013-06-01,-63.380619
2013-07-01,869.675422
2013-08-01,1880.670371
2013-09-01,2252.569449
2013-10-01,1588.388607
2013-11-01,568.586383
2013-12-01,2642.633332
2014-01-01,1183.540757
2014-02-01,-2042.325256
2014-03-01,4126.808078
2014-04-01,3318.292489
2014-05-01,1570.51213
2014-06-01,3721.139829
2014-07-01,1519.187718
2014-08-01,932.517570
2014-09-01,4958.382902
2014-10-01,3489.879591
2014-11-01,2371.249873
2014-12-01,2895.689583
2015-01-01,212.497171
2015-02-01,863.635826
2015-03-01,9716.042249
2015-04-01,-328.824328
2015-05-01,893.894135
2015-06-01,1846.721134
2015-07-01,895.459830
2015-08-01,4044.238187
2015-09-01,622.175832
2015-10-01,-1025.419202
2015-11-01,-598.755286
2015-12-01,-2414.905040
2016-01-01,-1463.262611
2016-02-01,4502.904370
2016-03-01,-11324.590622
2016-04-01,-3201.189928
2016-05-01,-1568.303316
2016-06-01,-2914.649581
2016-07-01,-1776.220438
2016-08-01,-916.281067
2016-09-01,-3704.022695
2016-10-01,-511.834096
2016-11-01,717.857581
2016-12-01,1377.928642
2017-01-01,4209.119276
2017-02-01,-3281.935113
2017-03-01,4349.666753
2017-04-01,4521.666340
2017-05-01,4243.118133
2017-06-01,3718.888407
2017-07-01,4122.253119
2017-08-01,2560.537744
2017-09-01,3384.122728
2017-10-01,4335.051205
2017-11-01,5502.161682
2017-12-01,5080.456180
2018-01-01,4345.756966
2018-02-01,6171.216549
2018-03-01,4111.835630
2018-04-01,785.896695
2018-05-01,2109.733582
2018-06-01,2265.926431
2018-07-01,3448.639150
2018-08-01,2013.882163
2018-09-01,4532.998620
2018-10-01,3947.920868
2018-11-01,-1760.222446
2018-12-01,1375.476261
2019-01-01,-4378.802182
2019-02-01,-5928.415863
2019-03-01,-7195.166358
2019-04-01,-3728.312642
2019-05-01,-4842.696598
2019-06-01,-5791.029872
2019-07-01,-5772.583848
2019-08-01,-6840.551167
2019-09-01,-10071.376741
2019-10-01,-12286.181043
2019-11-01,-10171.656087
2019-12-01,-12396.709418
2020-01-01,-8350.155588
2020-02-01,-10446.195361
2020-03-01,-11437.365345
2020-04-01,-3759.129947
2020-05-01,-2700.327038
2020-06-01,-1439.579906
2020-07-01,-754.879845
2020-08-01,-342.243678
2020-09-01,1150.496602
2020-10-01,4877.520161
2020-11-01,8558.761673
