DATE,IMPCH
2008-01-01,2.15467
2008-02-01,4.58792
2008-03-01,-1.24456
2008-04-01,7.05461
2008-05-01,9.26811
2008-06-01,3.17565
2008-07-01,9.25172
2008-08-01,11.95868
2008-09-01,12.44017
2008-10-01,7.84963
2008-11-01,-5.08951
2008-12-01,-2.24912
2009-01-01,-5.53420
2009-02-01,-21.78957
2009-03-01,-5.41673
2009-04-01,-15.53300
2009-05-01,-17.73283
2009-06-01,-14.17034
2009-07-01,-17.84535
2009-08-01,-18.93425
2009-09-01,-15.67416
2009-10-01,-13.14808
2009-11-01,-2.55901
2009-12-01,5.54461
2010-01-01,1.90944
2010-02-01,23.86396
2010-03-01,14.45249
2010-04-01,18.24582
2010-05-01,27.79207
2010-06-01,37.00167
2010-07-01,29.58874
2010-08-01,37.12351
2010-09-01,26.18056
2010-10-01,18.69395
2010-11-01,25.49795
2010-12-01,16.35623
2011-01-01,24.43470
2011-02-01,16.71591
2011-03-01,13.61528
2011-04-01,14.12063
2011-05-01,12.85824
2011-06-01,4.66378
2011-07-01,5.66754
2011-08-01,5.65041
2011-09-01,3.47176
2011-10-01,7.81219
2011-11-01,6.36674
2011-12-01,6.72964
2012-01-01,9.68911
2012-02-01,3.15823
2012-03-01,13.88307
2012-04-01,11.61575
2012-05-01,6.55653
2012-06-01,4.58047
2012-07-01,7.90422
2012-08-01,-0.25019
2012-09-01,4.04513
2012-10-01,6.43244
2012-11-01,7.55824
2012-12-01,6.03942
2013-01-01,8.06600
2013-02-01,16.50048
2013-03-01,-13.16291
2013-04-01,0.35035
2013-05-01,4.80795
2013-06-01,-0.17631
2013-07-01,2.29280
2013-08-01,5.04463
2013-09-01,5.94474
2013-10-01,3.94561
2013-11-01,1.43787
2013-12-01,7.58123
2014-01-01,3.18210
2014-02-01,-6.23750
2014-03-01,15.11980
2014-04-01,10.01539
2014-05-01,4.28895
2014-06-01,10.36934
2014-07-01,3.91539
2014-08-01,2.38122
2014-09-01,12.35137
2014-10-01,8.33992
2014-11-01,5.91153
2014-12-01,7.72180
2015-01-01,0.55371
2015-02-01,2.81311
2015-03-01,30.92225
2015-04-01,-0.90212
2015-05-01,2.34076
2015-06-01,4.66260
2015-07-01,2.22090
2015-08-01,10.08694
2015-09-01,1.37946
2015-10-01,-2.26185
2015-11-01,-1.40938
2015-12-01,-5.97809
2016-01-01,-3.79185
2016-02-01,14.26596
2016-03-01,-27.52902
2016-04-01,-8.86231
2016-05-01,-4.01285
2016-06-01,-7.03107
2016-07-01,-4.30964
2016-08-01,-2.07594
2016-09-01,-8.10066
2016-10-01,-1.15512
2016-11-01,1.71389
2016-12-01,3.62794
2017-01-01,11.33726
2017-02-01,-9.09958
2017-03-01,14.59016
2017-04-01,13.73523
2017-05-01,11.31084
2017-06-01,9.64963
2017-07-01,10.45226
2017-08-01,5.92418
2017-09-01,8.05342
2017-10-01,9.89781
2017-11-01,12.91507
2017-12-01,12.90802
2018-01-01,10.51336
2018-02-01,18.82332
2018-03-01,12.03629
2018-04-01,2.09898
2018-05-01,5.05243
2018-06-01,5.36211
2018-07-01,7.91678
2018-08-01,4.39882
2018-09-01,9.98347
2018-10-01,8.20208
2018-11-01,-3.65914
2018-12-01,3.09517
2019-01-01,-9.58554
2019-02-01,-15.21817
2019-03-01,-18.79918
2019-04-01,-9.75289
2019-05-01,-11.03960
2019-06-01,-13.00653
2019-07-01,-12.27955
2019-08-01,-14.31192
2019-09-01,-20.16774
2019-10-01,-23.59049
2019-11-01,-21.94789
2019-12-01,-27.05827
2020-01-01,-20.21707
2020-02-01,-31.62853
2020-03-01,-36.80134
2020-04-01,-10.89620
2020-05-01,-6.91968
2020-06-01,-3.71668
2020-07-01,-1.83058
2020-08-01,-0.83564
2020-09-01,2.88586
2020-10-01,12.25665
2020-11-01,23.66069
2020-12-01,24.58477
2021-01-01,17.95832
2021-02-01,49.99610
2021-03-01,103.59361
2021-04-01,21.69206
2021-05-01,6.01292
2021-06-01,6.77321
2021-07-01,-0.41138
2021-08-01,5.62143
2021-09-01,15.52451
2021-10-01,7.41904
2021-11-01,8.11282
2021-12-01,18.95457
2022-01-01,23.09445
2022-02-01,24.76572
2022-03-01,18.46808
2022-04-01,11.66489
2022-05-01,13.91089
2022-06-01,22.11475
2022-07-01,15.74669
2022-08-01,17.37296
2022-09-01,3.93165
