"Data Source","World Development Indicators",

"Last Updated Date","2022-09-16",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Aruba","ABW","Imports of goods and services (% of GDP)","NE.IMP.GNFS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","86.4636209813875","88.7044534412956","86.2509117432531","83.629654478363","84.6303501945525","70.6829704742022","69.3961708394698","68.6503416856492","70.0737906531839","67.7651139742319","76.9886363636364","76.4532911106085","74.9008971416649","73.5900962861073","74.6444979216802","75.2504553734062","84.6886912325286","83.5505233924375","85.3368830636904","84.6076861489191","72.9826546003017","70.4175248080884","71.2556458897922","74.6336357292394","74.6497890295359","72.7232042962631","",
"Africa Eastern and Southern","AFE","Imports of goods and services (% of GDP)","NE.IMP.GNFS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19.6695594823159","19.4823121198199","21.1938098590201","21.3858392290955","24.1377846263956","25.9922211161923","26.6023500340533","26.2949281401457","27.2017157287045","25.6708001613201","25.8687046997079","27.0232341199941","28.2477671083473","26.7328263512416","27.3933557850482","28.4848300902094","29.6946109854378","31.9598676757971","36.3789064947636","32.0253849426948","30.617207706613","31.7847633034943","32.9210809152773","33.6013971925632","31.6315652040195","29.3584997920209","26.4933051111617","24.652815358759","28.4926496468551","26.6061980030286","24.2500252848021","25.9906453696583",
"Afghanistan","AFG","Imports of goods and services (% of GDP)","NE.IMP.GNFS.ZS","7.02479336623182","8.09716629841498","9.34959330590257","16.8639103340214","18.0555553858025","21.4128034842526","18.571428537415","14.2098270385479","15.2103564269331","14.9842272480072","11.9441077843955","16.1407951985264","18.1058497936081","14.7435907141683","14.8453612226592","14.2723007777117","14.8695654136106","14.8231754979077","13.8720537510231","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Western and Central","AFW","Imports of goods and services (% of GDP)","NE.IMP.GNFS.ZS","22.6633438319118","23.6166100484954","20.6381107500777","20.4111045571569","21.2152556981856","22.1231890514139","20.5774925806563","22.6365732960602","22.7568839519976","22.4739191576867","19.0978394936957","22.0255678256569","20.9104943717495","23.3720398883567","23.887358300247","29.7605996153204","30.0063464109592","29.728110556315","30.386325392009","27.3700474973603","27.3078948346417","16.219946781473","14.1035420274927","13.5164945326375","13.9806133903306","15.5666423246048","17.9891433316941","19.4393783017833","18.616408462664","20.7663593828627","20.2973733512118","21.5122774763125","22.431415053282","22.2996441270056","23.5848299280329","25.8542660873309","25.8827079277849","29.1299879906715","28.6406627088917","24.2585184559607","23.7297643238327","28.2779164729402","25.3804280714613","28.301784088693","22.0231752996369","21.7517194236629","21.4101327375917","25.7225343581144","23.9282213749849","25.3143070117934","25.9402802648625","28.2343974482529","23.0303723078099","21.8827200185088","21.024117515417","20.225888369395","21.2779557782917","22.4160927240951","24.6930369568465","25.9871424622657","","",
"Angola","AGO","Imports of goods and services (% of GDP)","NE.IMP.GNFS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","62.8612782697202","74.946850958953","48.2167466955221","49.5798907399883","45.1995887314867","41.0646943598961","31.1572958281252","40.1542845215112","48.8896796542348","63.6888438415367","42.5805194236924","39.3125588161519","35.8599667074303","36.0648469678372","34.6378933219044","33.1339181383385","25.2456726203982","23.2527202247958","25.541723496358","17.0387830650203","18.9476682773705","15.0497914556988",
"Albania","ALB","Imports of goods and services (% of GDP)","NE.IMP.GNFS.ZS","","","","","","","","","","","","","","","","","","","","","23.5366005935177","22.2899596239822","24.7376437022741","21.558592462639","20.075351594758","19.1144514025886","16.0311247475208","16.1296420781227","19.9184766016104","21.4727330022325","24.0318995737727","28.5857013386048","96.2858807479086","64.5395029570264","41.1188903879182","34.9697653759195","33.27511148197","35.2284289698301","36.6703685610943","34.1692673931568","43.3387875873655","45.1576132001299","47.5794520503068","46.1731745895907","44.8296265467915","47.85935562815","49.0574825118736","54.9542146887506","52.1493333802176","49.8541657924919","48.5639550032469","51.9770317939697","47.572712860263","46.9573987095321","47.19484413802","44.5336151883802","45.8319636476989","46.624465948041","45.236190919583","44.9749244902205","37.2477679402658","43.9021096845633",
"Andorra","AND","Imports of goods and services (% of GDP)","NE.IMP.GNFS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Imports of goods and services (% of GDP)","NE.IMP.GNFS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","34.3572038401203","34.1947441069762","32.9500514732112","32.4326027510022","33.6954281951469","31.835667700617","30.1397086898862","31.2146980698508","32.1694229336719","32.8071229528396","36.0463036883256","35.9761499981624","35.5305253931114","39.8470396875827","40.6351514879983","41.535022755062","37.0901029827853","35.746770240737","36.4851795254172","37.64283713131","38.8193206846167","41.1825529993207","38.5395407232194","39.284446549607","38.0092637090398","38.8420186838969","36.8074585602422","",
"United Arab Emirates","ARE","Imports of goods and services (% of GDP)","NE.IMP.GNFS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40.7053546013305","43.5683114306968","46.3769702756087","53.0548827099662","51.9675602523703","50.8428719062721","64.4140553654625","69.6456553241827","73.8086264961866","61.6350894338732","61.5893776194277","64.0028435437116","64.7281694872913","68.9314591246397","74.3508508837718","75.7446147405647","75.4094120296224","66.6806507430916","70.8506191914014","68.7956954291011","",
"Argentina","ARG","Imports of goods and services (% of GDP)","NE.IMP.GNFS.ZS","7.60404697842066","5.99494531563042","9.38368289014019","7.89045203238687","5.56371407448549","4.15058297208167","4.98968803354988","4.99706414666865","5.40371142252492","6.39871331653575","4.73587740483595","6.60795603425901","6.83787735815201","5.70950079036544","6.28900906002321","5.97867249611964","5.92149632785012","7.32639415522164","5.71540643432211","6.32976917437938","6.48369977956918","7.37192799857345","6.52099302139343","5.83614942003836","4.75648611743286","6.27332704995287","6.32405524784407","7.57576406955165","6.21184563577101","6.57938879331971","4.63132240741775","6.07801081056698","8.13279311431564","9.31379991407563","10.6043971410814","10.0910128307854","11.0778716497076","12.7753287418177","12.934446011977","11.5555704475475","11.6360695451767","10.2732473690136","13.370127359396","14.7138051046861","16.8450266849578","17.3053942367662","17.4067852681036","18.2824203070644","18.341772996414","14.4961418494061","16.0371898581987","16.7569458546489","14.2886829096862","14.7167556136651","14.0013150558519","11.7805740385254","13.5667926798789","13.9693177780045","16.3258502050892","14.518503119375","13.5563249239753","15.1283057139326",
