DATE,IMPGS
2013-07-01,0.59495
2013-10-01,1.08543
2014-01-01,3.57180
2014-04-01,5.10145
2014-07-01,4.38590
2014-10-01,4.44479
2015-01-01,-1.02793
2015-04-01,-3.20802
2015-07-01,-3.01712
2015-10-01,-5.53312
2016-01-01,-4.62927
2016-04-01,-3.45105
2016-07-01,-1.81706
2016-10-01,1.91463
2017-01-01,6.64818
2017-04-01,7.11406
2017-07-01,5.54275
2017-10-01,7.93847
2018-01-01,7.72079
2018-04-01,7.02515
2018-07-01,8.65420
2018-10-01,4.88911
2019-01-01,1.55458
2019-04-01,1.86098
2019-07-01,-1.14176
2019-10-01,-3.96542
2020-01-01,-6.59336
2020-04-01,-25.95504
2020-07-01,-10.23654
2020-10-01,-0.54349
2021-01-01,8.25637
2021-04-01,42.40100
2021-07-01,22.99081
2021-10-01,20.53147
2022-01-01,23.60700
2022-04-01,22.08022
2022-07-01,15.07453
